Domain,Location on Site,Tech Spend USD,Company,Vertical,Quantcast,Alexa,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,GDPR
"amateursex4u.net","amateursex4u.net","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
"americanshipper.com","americanshipper.com","$1000","Howard Publications Inc","Business And Industrial","233847","Outside Top 1m","109259","143261","ph:+1-904-791-8836;+1-800-282-1376;+1-800-874-6422","","https://twitter.com/americanshipper","https://facebook.com/americanshipper","https://linkedin.com/company/american-shipper","https://google.com/+americanshipper","","","","","","","Jason Lloyd - Director - noemail; Brian Murray - Board - noemail; Fred Smith - President - noemail; Robert Nathan - Csuite - noemail; Dhruv Saxena - Csuite - noemail","Rogers","OH","44455","US","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"amour-musulmane.com","amour-musulmane.com","$500","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-09-15","2018-08-03","-","Non-EU"
"animatedgif.net","animatedgif.net","$500","AnimatedGIF.net and Travlang Online Inc","Art And Entertainment","27404","Outside Top 1m","235917","Outside Top 1m","ph:","forsale@animatedgif.net;submissions@animatedgif.net;webmaster@animatedgif.net","","","","","","","","","","","","","","","","2013-10-24","2018-08-06","2011-01-03","2018-08-20","-","Non-EU"
"arabianbusinesscommunity.com","arabianbusinesscommunity.com","$50","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","Teddington","Greater London","TW11","GB","2014-10-15","2018-08-03","2014-08-31","2018-08-03","-","United Kingdom"
"arabianknightonline.com","arabianknightonline.com","$100","Al Hilal Group","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-208-943-3701","","","","","","","","","","","","Prince Sheikh - Board - noemail","","","","","2014-12-08","2018-08-21","2013-02-28","2018-08-21","-","Non-EU"
"asianbusinesscommunity.com","asianbusinesscommunity.com","$50","Al Hilal Group","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2016-06-29","2018-08-03","2015-04-20","2018-08-03","-","Non-EU"
"askmurdoch.co.uk","askmurdoch.co.uk","$50","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","United Kingdom"
"easyhomes.co.za","easyhomes.co.za","$0","","Art And Entertainment","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2015-02-18","2018-08-03","2012-02-04","2018-08-03","-","Non-EU"
"elsiglo.com.pa","elsiglo.com.pa","$500","","Art And Entertainment","Outside Top 1m","12659","129479","245609","ph:","","https://twitter.com/elsiglodigital","https://facebook.com/elsiglodigital","","","","","","","","https://youtube.com/user/elsiglodigital","","","","","","2017-01-03","2018-08-26","2017-01-03","2018-08-26","-","Non-EU"
"manutencionyalmacenaje.com","manutencionyalmacenaje.com","$5000","","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+34-912-972000;+34-902-999829","info@manutencionyalmacenaje.com","","https://facebook.com/manutencionyalmacenaje","https://linkedin.com/company/manutenci�n-","","","","","","","","N/A - Director - noemail","Madrid","M","28022","ES","2014-01-11","2018-08-22","2014-01-11","2018-08-22","-","Spain"
"marteenhs.cf","marteenhs.cf","$100","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-06-19","2018-08-03","2018-05-31","2018-08-03","-","Non-EU"
"matureswingers4u.com","matureswingers4u.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-213-761-7061","","","","","","","","","","","","","Chicago","IL","60611","","2013-11-12","2018-08-03","2012-02-04","2018-08-03","-","Non-EU"
"matureswinging4u.com","matureswinging4u.com","$0","","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-213-761-7061","","","","","","","","","","","","","Chicago","IL","60611","","2013-11-12","2018-08-03","2013-09-15","2018-08-03","-","Non-EU"
"memedsahin.com","memedsahin.com","$5000","","Technology And Computing","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2017-08-08","2018-08-08","2013-02-28","2018-08-08","-","Non-EU"
"mercedes-190.co.uk","mercedes-190.co.uk","$500","","Technology And Computing","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-08","2012-02-04","2018-08-08","-","United Kingdom"
"metalesymetalurgia.com","metalesymetalurgia.com","$5000","","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+34-913-591712;+34-902-999829","info@metalesymetalurgia.com","https://twitter.com/metalesymetalur","","","","","","","","","","","Madrid","M","28022","ES","2014-01-11","2018-08-03","2014-01-11","2018-08-03","-","Spain"
"mia.com.pa","mia.com.pa","$50","","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","https://twitter.com/mialarevista","https://facebook.com/mia-la-revista-121327864610890","","","","","https://instagram.com/mialarevista","","","","","","","","","2016-06-30","2018-08-03","2013-09-05","2018-08-03","-","Non-EU"
"midcapdirectory.com","midcapdirectory.com","$500","IntegrityMessageBoards.com LLC","Business And Industrial","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+1-404-584-0108;+1-314-431-9442;+1-866-333-9244","","","","","","","","","","","","","Atlanta","GA","30312","US","2013-11-12","2018-08-22","2013-02-28","2018-08-22","-","Non-EU"
"morningannouncements.com","morningannouncements.com","$250","","Education","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","jferry@morningannouncements.com;jbrown@morningannouncements.com;jleonard@morningannouncements.com;kcavallaro@morningannouncements.com","","","","","","","","","","","Ken Cavallaro - Manager - noemail","Boston","MA","02109","","2016-11-22","2018-08-22","2016-11-15","2018-08-22","-","Non-EU"
"moskovbas.ga","moskovbas.ga","$250","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-07-02","2018-08-03","2018-07-02","2018-08-03","-","Non-EU"
"motebloggerne.no","motebloggerne.no","$0","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","post@motebloggerne.no","","","","","","","","","","","","","","","","2014-01-11","2018-08-03","2014-01-11","2018-08-03","-","Non-EU"
"motorcycledaily.com","motorcycledaily.com","$500","Enhance Partners LLC","Automotive And Vehicles","19102","210726","63769","157792","ph:","editor@motorcycledaily.com","","","","","","","https://instagram.com/motorcycledaily","","","","","","","","","2013-10-24","2018-08-20","2011-01-03","2018-08-20","-","Non-EU"
"movvilidads.tk","movvilidads.tk","$500","","","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","","","","","","","","","","","","","","","","","","2018-05-02","2018-08-22","2018-05-02","2018-08-22","-","Non-EU"
"mundo-electronico.com","mundo-electronico.com","$5000","","Technology And Computing","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:+34-934-098980;+34-902-999829","info@mundo-electronico.com","https://twitter.com/mundoelec","","","","","","","","","","","Madrid","M","28022","ES","2014-01-11","2018-08-22","2014-01-11","2018-08-22","-","Spain"
"mwerks.com","mwerks.com","$5000","Vortex Media Group","Automotive And Vehicles","Outside Top 1m","Outside Top 1m","271462","Outside Top 1m","ph:","info@mwerks.com","","","","","","","","","","","","","","","","2013-11-12","2018-08-20","2011-01-03","2018-08-21","-","Non-EU"
"mynudepage.com","mynudepage.com","$0","Mashable Inc","Adult","Outside Top 1m","Outside Top 1m","Outside Top 1m","Outside Top 1m","ph:","","","","","","","","","","","","","","","","","2013-11-12","2018-08-03","2013-02-28","2018-08-03","-","Non-EU"
